"uke","A.sidev.nett","A.sidev.mob","BT.sidev.nett","BT.sidev.mob","adrtotal","bttotal"
20151,951370,548954,812113,387401,1500324,1199514
20152,984536,483810,1119627,469082,1468346,1588709
20153,891543,434204,981549,403318,1325747,1384867
20154,834593,413127,931642,383375,1247720,1315017
20155,903688,434175,988449,407539,1337863,1395988
20156,949572,468402,931955,367721,1417974,1299676
20157,909990,433141,894949,358559,1343131,1253508
20158,889302,454076,919240,371911,1343378,1291151
20159,892391,452820,882548,384489,1345211,1267037
201510,925029,470187,974782,416656,1395216,1391438
201511,830286,419550,883951,379778,1249836,1263729
201512,845196,402766,919129,406725,1247962,1325854
201513,827719,409295,844502,371847,1237014,1216349
201514,631563,445835,716165,383539,1077398,1099704
201515,827157,440534,842784,393269,1267691,1236053
201516,873858,460516,851569,408320,1334374,1259889
201517,816171,415124,859159,371867,1231295,1231026
201518,772857,415839,887817,433799,1188696,1321616
201519,815728,423689,893586,406429,1239417,1300015
201520,811641,458100,918557,456624,1269741,1375181
201521,807513,431296,1007751,481036,1238809,1488787
201522,900357,509509,1022142,501674,1409866,1523816
201523,849493,441959,936238,429831,1291452,1366069
201524,811813,465264,800648,391735,1277077,1192383
201525,778592,444650,788545,384943,1223242,1173488
201526,778130,475383,735110,360441,1253513,1095551
201527,680753,427014,718110,397575,1107767,1115685
201528,699464,443450,664452,368504,1142914,1032956
201529,699906,474871,641138,367833,1174777,1008971
201530,648518,445645,611758,361004,1094163,972762
201531,673920,448136,659954,384250,1122056,1044204
201532,835031,532760,690895,357442,1367791,1048337
201533,783845,505906,767234,392156,1289751,1159390
201534,745378,524117,760656,437396,1269495,1198052
201535,785407,516622,767925,416342,1302029,1184267
201536,713685,458298,723379,414769,1171983,1138148
201537,758888,452722,746731,388565,1211610,1135296
201538,878681,531119,898354,454660,1409800,1353014
201539,821206,499465,769834,382165,1320671,1151999
201540,881749,575227,723640,366710,1456976,1090350
201541,729429,478071,651318,331863,1207500,983181
201542,840520,561287,726457,383234,1401807,1109691
201543,778375,474084,778293,412922,1252459,1191215
201544,852472,525693,772457,381620,1378165,1154077
201545,812518,502761,758155,379277,1315279,1137432
201546,774188,484691,819353,414049,1258879,1233402
201547,841253,519907,806390,404345,1361160,1210735
201548,820590,498081,846172,430407,1318671,1276579
201549,800695,477216,847412,417099,1277911,1264511
201550,797604,489935,801580,391130,1287539,1192710
201551,768461,469660,829279,429297,1238121,1258576
201552,674349,511643,658966,394639,1185992,1053605
