"uke","bt","ba","diff","midt"
201315,238668,141339,97329,190004
201316,250052,118862,131190,184457
201317,232247,119721,112526,175984
201318,241047,128297,112750,184672
201319,241780,124921,116859,183350
201320,233393,110263,123130,171828
201321,239811,110987,128824,175399
201322,236395,117696,118699,177046
201323,226310,121502,104808,173906
201324,257934,111681,146253,184808
201325,244867,122697,122170,183782
201326,228086,114811,113275,171448
201327,215890,109615,106275,162752
201328,195414,100992,94422,148203
201329,179098,103080,76018,141089
201330,174175,103787,70388,138981
201331,221606,125369,96237,173488
201332,220386,125212,95174,172799
201333,233984,116396,117588,175190
201334,244295,114041,130254,179168
201335,243711,127297,116414,185504
201336,252680,132289,120391,192484
201337,253205,132519,120686,192862
201338,238316,122851,115465,180584
201339,228960,124653,104307,176806
201340,227576,133426,94150,180501
201341,252939,119045,133894,185992
201342,266011,131822,134189,198916
201343,249575,123437,126138,186506
201344,229937,139135,90802,184536
201345,238344,136997,101347,187670
201346,283515,149415,134100,216465
201347,256722,153644,103078,205183
201348,226212,134838,91374,180525
201349,253480,165754,87726,209617
201350,288096,144088,144008,216092
201351,288434,146684,141750,217559
201352,212518,130416,82102,171467
201401,232199,133192,99007,182696
201402,237066,134959,102107,186012
201403,242040,156975,85065,199508
201404,278130,137824,140306,207977
201405,248057,145863,102194,196960
201406,255601,140092,115509,197846
201407,245620,136331,109289,190976
201408,234103,140641,93462,187372
201409,246487,155552,90935,201020
201410,248981,155799,93182,202390
201411,244794,160732,84062,202763
201412,246209,139428,106781,192818
201413,256566,144929,111637,200748
201414,250614,134361,116253,192488
201415,254449,174394,80055,214422
201416,206851,133057,73794,169954
201417,237772,161350,76422,199561
201418,236311,154811,81500,195561
201419,235697,149014,86683,192356
201420,242115,158573,83542,200344
201421,267019,168574,98445,217796
201422,222985,144009,78976,183497
201423,224446,141275,83171,182860
201424,223939,135061,88878,179500
201425,225190,160225,64965,192708
201426,232910,137477,95433,185194
201427,211730,132321,79409,172026
201428,196595,119298,77297,157946
201429,192670,139944,52726,166307
201430,224022,124152,99870,174087
201431,234424,141254,93170,187839
201432,259892,140347,119545,200120
201433,252334,149949,102385,201142
201434,265972,134336,131636,200154
201435,NA,NA,NA,NA
201436,253565,149611,103954,201588
201437,258487,148058,110429,203272
201438,312556,177693,134863,245124
201439,303270,155253,148017,229262
201440,269901,152041,117860,210971
201441,265748,142839,122909,204294
201442,279201,168024,111177,223612
201443,275860,155820,120040,215840
201444,285216,172814,112402,229015
201445,272643,168175,104468,220409
201446,287546,155204,132342,221375
201447,279006,163666,115340,221336
201448,293447,181044,112403,237246
201449,274475,167200,107275,220838
201450,284210,161337,122873,222774
201451,251134,155927,95207,203530
201452,233673,144082,89591,188878
201501,247625,167992,79633,207808
201502,295772,199358,96414,247565
201503,275591,197475,78116,236533
201504,283169,167506,115663,225338
201505,285853,165243,120610,225548
201506,260854,159390,101464,210122
201507,267536,148470,119066,208003
201508,268370,158703,109667,213536
201509,260060,157788,102272,208924
